Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/01  01:00:00,19.3946981665,3.97887389208,0.0,0.0,5.48122459637,1.0115996781,76.9793150793,76.9793150793
 01/01  02:00:00,19.5310693207,4.11524504628,0.0,0.0,5.48122459637,1.0115996781,89.5693666053,89.5693666053
 01/01  03:00:00,21.0539835803,5.63815930579,0.0,0.0,5.48122459637,1.0115996781,125.692088,125.692088
 01/01  04:00:00,19.7662359851,4.35041171062,0.0,0.0,5.48122459637,1.0115996781,102.771045954,102.771045954
 01/01  05:00:00,21.0665742952,5.6507500207,0.0,0.0,5.48122459637,1.0115996781,128.110639824,128.110639824
 01/01  06:00:00,19.6340429936,4.21821871916,0.0,0.0,5.48122459637,1.0115996781,96.7687063031,96.7687063031
 01/01  07:00:00,20.7766461183,5.36082184386,0.0,0.0,5.48122459637,1.0115996781,116.42066696,116.42066696
 01/01  08:00:00,13.4633212254,3.99616361763,0.0,0.0,5.48122459637,1.0115996781,86.9667607183,86.9667607183
 01/01  09:00:00,11.4258408332,4.93301655872,0.0,0.0,5.48122459637,1.0115996781,101.466678005,101.466678005
 01/01  10:00:00,9.87861352604,3.38578925158,0.0,0.0,5.48122459637,1.0115996781,63.769160869,63.769160869
 01/01  11:00:00,10.1567710018,3.66394672731,0.0,0.0,5.48122459637,1.0115996781,70.3555768477,70.3555768477
 01/01  12:00:00,8.93617436083,2.44335008637,0.0,0.0,5.48122459637,1.0115996781,46.7291418364,46.7291418364
 01/01  13:00:00,9.48520570608,2.99238143161,0.0,0.0,5.48122459637,1.0115996781,57.0784381836,57.0784381836
 01/01  14:00:00,8.52228836926,2.02946409479,0.0,0.0,5.48122459637,1.0115996781,38.4857390434,38.4857390434
 01/01  15:00:00,9.06183570892,2.56901143446,0.0,0.0,5.48122459637,1.0115996781,48.7642426462,48.7642426462
 01/01  16:00:00,8.39662172253,1.90379744807,0.0,0.0,5.48122459637,1.0115996781,36.0290879126,36.0290879126
 01/01  17:00:00,13.7535592564,2.79923498193,0.0,0.0,5.48122459637,1.0115996781,53.3542494053,53.3542494053
 01/01  18:00:00,17.7492527887,2.3334285142,0.0,0.0,5.48122459637,1.0115996781,44.5955068437,44.5955068437
 01/01  19:00:00,18.8114214835,3.39559720905,0.0,0.0,5.48122459637,1.0115996781,65.13682239,65.13682239
 01/01  20:00:00,18.0469450635,2.63112078905,0.0,0.0,5.48122459637,1.0115996781,50.4153043825,50.4153043825
 01/01  21:00:00,19.0801453433,3.66432106881,0.0,0.0,5.48122459637,1.0115996781,70.4170779008,70.4170779008
 01/01  22:00:00,18.2317344769,2.81591020245,0.0,0.0,5.48122459637,1.0115996781,54.0149086877,54.0149086877
 01/01  23:00:00,19.2242226157,3.80839834126,0.0,0.0,5.48122459637,1.0115996781,73.2679745589,73.2679745589
 01/01  24:00:00,18.271908856,2.85608458157,0.0,0.0,5.48122459637,1.0115996781,54.8272853221,54.8272853221
 01/02  01:00:00,19.2640053478,3.8481810733,0.0,0.0,5.48122459637,1.0115996781,74.0852697749,74.0852697749
 01/02  02:00:00,18.2674743618,2.85165008734,0.0,0.0,5.48122459637,1.0115996781,54.7721115623,54.7721115623
 01/02  03:00:00,19.2045459359,3.78872166148,0.0,0.0,5.48122459637,1.0115996781,72.9663093239,72.9663093239
 01/02  04:00:00,18.1941153379,2.77829106346,0.0,0.0,5.48122459637,1.0115996781,53.388246684,53.388246684
 01/02  05:00:00,19.0751034404,3.65927916589,0.0,0.0,5.48122459637,1.0115996781,70.5039806129,70.5039806129
 01/02  06:00:00,18.0860511381,2.6702268636,0.0,0.0,5.48122459637,1.0115996781,51.3345688572,51.3345688572
 01/02  07:00:00,26.4905807101,11.0747564357,0.0,0.0,5.48122459637,1.0115996781,86.3664171332,86.3664171332
 01/02  08:00:00,41.031986545,11.0747564357,0.0,0.0,21.9248983855,5.05799839049,66.8110287314,66.8110287314
 01/02  09:00:00,57.536126035,11.0747564357,0.0,0.0,38.3685721746,8.09279742479,54.052001153,54.052001153
 01/02  10:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,43.2758826453,43.2758826453
 01/02  11:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,36.148554582,36.148554582
 01/02  12:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,31.3265779948,31.3265779948
 01/02  13:00:00,63.0173506314,11.0747564357,0.0,0.0,43.8497967709,8.09279742479,28.9474310847,28.9474310847
 01/02  14:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,22.943021216,22.943021216
 01/02  15:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,19.8164304783,19.8164304783
 01/02  16:00:00,69.5101749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,19.9373392798,19.9373392798
 01/02  17:00:00,73.9716749058,11.0747564357,0.0,0.0,49.3310213673,9.10439710289,23.4635203618,23.4635203618
 01/02  18:00:00,30.8906415627,1.47756906123,0.0,0.0,16.4436737891,4.04639871239,27.390357418,27.390357418
 01/02  19:00:00,16.9137158383,1.49789156384,0.0,0.0,5.48122459637,1.0115996781,28.1759247486,28.1759247486
