Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),type_building
2004-01-02 01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 04:00:00,15.143717528,0.0367183204262,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 05:00:00,15.1468046234,0.0398054157818,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 06:00:00,15.1526846324,0.0456854247658,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 07:00:00,23.7813652071,8.6743659995,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-02 08:00:00,21.4811818486,8.6743659995,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-02 09:00:00,33.2094782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-02 10:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 11:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 12:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 13:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 14:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 15:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 16:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 17:00:00,53.4300884456,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 18:00:00,61.0867551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-02 19:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-02 20:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-02 21:00:00,44.6944782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-02 22:00:00,22.3776491824,0.0,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-02 23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 02:00:00,15.1328629092,0.0258637015633,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 03:00:00,15.1374616117,0.0304624041091,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 04:00:00,15.1607302811,0.0537310735403,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 05:00:00,15.2251349014,0.118135693768,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 06:00:00,15.2463360118,0.139336804167,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 07:00:00,23.7813652071,8.6743659995,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-03 08:00:00,21.4811818486,8.6743659995,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-03 09:00:00,33.2094782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-03 10:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 11:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 12:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 13:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 14:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 15:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 16:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 17:00:00,53.4300884456,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 18:00:00,61.0867551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-03 19:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-03 20:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-03 21:00:00,44.6944782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-03 22:00:00,22.3776491824,0.0,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-03 23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 01:00:00,15.1350016459,0.0280024382772,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 02:00:00,15.1418456016,0.0348463939818,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 03:00:00,15.1733861136,0.0663869060256,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 04:00:00,15.2159285889,0.108929381284,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 05:00:00,15.2467029719,0.139703764337,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 06:00:00,15.2616227512,0.154623543568,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 07:00:00,23.7813652071,8.6743659995,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-04 08:00:00,21.4811818486,8.6743659995,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-04 09:00:00,33.2094782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-04 10:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 11:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 12:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 13:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 14:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 15:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 16:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 17:00:00,53.4300884456,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 18:00:00,61.0867551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-04 19:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-04 20:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-04 21:00:00,44.6944782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-04 22:00:00,22.3776491824,0.0,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-04 23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 04:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 05:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 06:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 07:00:00,23.7813652071,8.6743659995,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-05 08:00:00,21.4811818486,8.6743659995,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-05 09:00:00,33.2094782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-05 10:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 11:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 12:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 13:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 14:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 15:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 16:00:00,49.6017551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 17:00:00,53.4300884456,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 18:00:00,61.0867551123,8.6743659995,0.0,0.0,32.8378569048,8.089532208,RefBldgStripMallNew2004
2004-01-05 19:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-05 20:00:00,49.2419658987,8.6743659995,0.0,0.0,21.8919046032,7.190695296,RefBldgStripMallNew2004
2004-01-05 21:00:00,44.6944782195,8.6743659995,0.0,0.0,18.243253836,6.291858384,RefBldgStripMallNew2004
2004-01-05 22:00:00,22.3776491824,0.0,0.0,0.0,7.2973015344,3.595347648,RefBldgStripMallNew2004
2004-01-05 23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 04:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 05:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
2004-01-06 06:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,RefBldgStripMallNew2004
