type_building,Electricity:Facility [kW](Hourly)_mean,Electricity:Facility [kW](Hourly)_std_dev,Electricity:Facility [kW](Hourly)_max_value,Electricity:Facility [kW](Hourly)_min_value,Electricity:Facility [kW](Hourly)_25_percentile,Electricity:Facility [kW](Hourly)_50_percentile,Electricity:Facility [kW](Hourly)_75_percentile,Fans:Electricity [kW](Hourly)_mean,Fans:Electricity [kW](Hourly)_std_dev,Fans:Electricity [kW](Hourly)_max_value,Fans:Electricity [kW](Hourly)_min_value,Fans:Electricity [kW](Hourly)_25_percentile,Fans:Electricity [kW](Hourly)_50_percentile,Fans:Electricity [kW](Hourly)_75_percentile,Cooling:Electricity [kW](Hourly)_mean,Cooling:Electricity [kW](Hourly)_std_dev,Cooling:Electricity [kW](Hourly)_max_value,Cooling:Electricity [kW](Hourly)_min_value,Cooling:Electricity [kW](Hourly)_25_percentile,Cooling:Electricity [kW](Hourly)_50_percentile,Cooling:Electricity [kW](Hourly)_75_percentile,Heating:Electricity [kW](Hourly)_mean,Heating:Electricity [kW](Hourly)_std_dev,Heating:Electricity [kW](Hourly)_max_value,Heating:Electricity [kW](Hourly)_min_value,Heating:Electricity [kW](Hourly)_25_percentile,Heating:Electricity [kW](Hourly)_50_percentile,Heating:Electricity [kW](Hourly)_75_percentile,InteriorLights:Electricity [kW](Hourly)_mean,InteriorLights:Electricity [kW](Hourly)_std_dev,InteriorLights:Electricity [kW](Hourly)_max_value,InteriorLights:Electricity [kW](Hourly)_min_value,InteriorLights:Electricity [kW](Hourly)_25_percentile,InteriorLights:Electricity [kW](Hourly)_50_percentile,InteriorLights:Electricity [kW](Hourly)_75_percentile,InteriorEquipment:Electricity [kW](Hourly)_mean,InteriorEquipment:Electricity [kW](Hourly)_std_dev,InteriorEquipment:Electricity [kW](Hourly)_max_value,InteriorEquipment:Electricity [kW](Hourly)_min_value,InteriorEquipment:Electricity [kW](Hourly)_25_percentile,InteriorEquipment:Electricity [kW](Hourly)_50_percentile,InteriorEquipment:Electricity [kW](Hourly)_75_percentile
RefBldgFullServiceRestaurantNew2004,0.3921824125555107,0.2302809475409308,0.9999999999999999,0.0,0.33728884049262675,0.42563455910447057,0.5095946337763354,0.8333333333333333,0.37269926964646305,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.10491111029185567,0.21252099579880782,1.0,0.0,0.0,0.0,0.07565781158309585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333268,0.38696164635719094,1.0,0.0,0.8499999999998039,1.0,1.0,0.592329703896282,0.37401358751509467,0.9999999999999998,0.0,0.4697920152384873,0.614394192900718,0.9999999999999998
RefBldgFullServiceRestaurantNew2004,0.3887472025909197,0.2300271197295427,1.0,0.0,0.3363153931665247,0.42077250252547915,0.5144076108349651,0.8333333333333334,0.37269926964646316,1.0,0.0,1.0,1.0,1.0,0.11200083713735097,0.21434684332700094,0.9999999999999999,0.0,0.0,5.1346798856661844e-05,0.11643176541126807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333268,0.38696164635719094,1.0,0.0,0.8499999999998039,1.0,1.0,0.592329703896282,0.37401358751509467,0.9999999999999998,0.0,0.4697920152384873,0.614394192900718,0.9999999999999998
RefBldgFullServiceRestaurantNew2004,0.4007178428258413,0.2398137101028675,1.0,0.0,0.33862178436357226,0.42522103405959477,0.5397944510796306,0.8333333333333334,0.37269926964646316,1.0,0.0,1.0,1.0,1.0,0.13070064582673205,0.23507043689141757,0.9999999999999999,0.0,0.0,8.446239864316627e-05,0.17238736434635288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333268,0.38696164635719094,1.0,0.0,0.8499999999998039,1.0,1.0,0.592329703896282,0.37401358751509467,0.9999999999999998,0.0,0.4697920152384873,0.614394192900718,0.9999999999999998
RefBldgFullServiceRestaurantNew2004,0.3738236754003241,0.21214189095144542,0.9999999999999999,0.0,0.3365323234013958,0.4229331657105261,0.4913574822468715,0.8333333333333334,0.37269926964646316,1.0,0.0,1.0,1.0,1.0,0.07031466922376924,0.1603572530562571,1.0,0.0,0.0,0.0,0.010486922429203476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333268,0.38696164635719094,1.0,0.0,0.8499999999998039,1.0,1.0,0.592329703896282,0.37401358751509467,0.9999999999999998,0.0,0.4697920152384873,0.614394192900718,0.9999999999999998
RefBldgFullServiceRestaurantNew2004,0.3845140506240343,0.21808891085225884,1.0,0.0,0.34779393661590197,0.4337444667957477,0.5039097091753065,0.8333333333333334,0.37269926964646316,1.0,0.0,1.0,1.0,1.0,0.0758295702719813,0.17206245110212004,1.0,0.0,0.0,0.0,0.02106572217082439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783333333333268,0.38696164635719094,1.0,0.0,0.8499999999998039,1.0,1.0,0.592329703896282,0.37401358751509467,0.9999999999999998,0.0,0.4697920152384873,0.614394192900718,0.9999999999999998
RefBldgHospitalNew2004,0.5975160434720573,0.2255447451699739,1.0,0.0,0.4490741355496005,0.5522624703128745,0.8410162944409125,0.04365648515575668,0.1148872957749005,1.0,0.0,0.0,0.0,0.03801125297993385,0.7688464749089311,0.21937763081771638,0.9999999999999999,0.0,0.7728515625859456,0.8386848806532896,0.9069049822784531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46616309988197957,0.402245739137101,1.0,0.0,0.053439768215957306,0.31296081124438946,1.0,0.47829287713011737,0.41542731472376326,0.9999999999999999,0.0,0.057144757867616414,0.43597302416486305,0.9619034947549224
RefBldgHospitalNew2004,0.5852970020331559,0.23058706118912423,1.0,0.0,0.4252027458692609,0.5353705807608808,0.8379592050211682,0.03581104162857171,0.09550276020762137,1.0000000000000002,0.0,0.0,0.0,0.03067508634799207,0.7766254775644292,0.2002163356312102,0.9999999999999999,0.0,0.7662635367566517,0.8267455723269657,0.9100737778444129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46616309988197957,0.402245739137101,1.0,0.0,0.053439768215957306,0.31296081124438946,1.0,0.47829287713011737,0.41542731472376326,0.9999999999999999,0.0,0.057144757867616414,0.43597302416486305,0.9619034947549224
RefBldgHospitalNew2004,0.6183270727370278,0.21952867713130705,1.0,0.0,0.46363339037769985,0.5686427549035519,0.8608268837801915,0.04078255447560222,0.11029725767122321,0.9999999999999999,0.0,0.0,0.0,0.032189936055361135,0.7861116522439888,0.1913200547303268,1.0,0.0,0.7766741336041862,0.8237331281969414,0.906579751580135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46616309988197957,0.402245739137101,1.0,0.0,0.053439768215957306,0.31296081124438946,1.0,0.47829287713011737,0.41542731472376326,0.9999999999999999,0.0,0.057144757867616414,0.43597302416486305,0.9619034947549224
RefBldgHospitalNew2004,0.536650265322066,0.23815724551461132,1.0,0.0,0.3710454389003316,0.5079005145435015,0.7277507817770479,0.039504692493594215,0.09719743085645711,1.0,0.0,0.0,0.0,0.040224077900645194,0.6473395606461496,0.27753745447327594,1.0,0.0,0.4583944039882759,0.7571160284295476,0.8649315218120264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46616309988197957,0.402245739137101,1.0,0.0,0.053439768215957306,0.31296081124438946,1.0,0.47829287713011737,0.41542731472376326,0.9999999999999999,0.0,0.057144757867616414,0.43597302416486305,0.9619034947549224
RefBldgHospitalNew2004,0.5400506924942831,0.22429979541676742,1.0,0.0,0.37457552243443776,0.5075676635351135,0.7212296914927578,0.026538793228633315,0.06959333353329054,1.0,0.0,0.0,0.0,0.02568775198073256,0.676160936482728,0.2415771987855345,1.0,0.0,0.49020684982651974,0.7631341151271767,0.8717853416507325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46616309988197957,0.402245739137101,1.0,0.0,0.053439768215957306,0.31296081124438946,1.0,0.47829287713011737,0.41542731472376326,0.9999999999999999,0.0,0.057144757867616414,0.43597302416486305,0.9619034947549224
