Electricity:Facility_mean,Electricity:Facility_std,Fans:Electricity_mean,Fans:Electricity_std,InteriorLights:Electricity_mean,InteriorLights:Electricity_std,type_building,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical
-0.5200787059212174,-0.6352584231336524,-0.553602370589024,-0.6106033132458311,-0.5017698143744529,-0.6651237499201685,RefBldgFullServiceRestaurantNew2004,0,0,0
-0.5187814366074136,-0.632764069336663,-0.553801638823705,-0.6107961411402195,-0.5017698143744529,-0.6651237499201685,RefBldgFullServiceRestaurantNew2004,0,0,0
-0.5184530257533418,-0.6289743192260203,-0.553844674028728,-0.6108377854493711,-0.5017698143744529,-0.6651237499201685,RefBldgFullServiceRestaurantNew2004,0,0,0
-0.520768389846075,-0.6435048696697077,-0.5550261345635478,-0.6119810612333765,-0.5017698143744529,-0.6651237499201685,RefBldgFullServiceRestaurantNew2004,0,0,0
-0.5206790094705245,-0.643154968717002,-0.5540400434338764,-0.6110268405242203,-0.5017698143744529,-0.6651237499201685,RefBldgFullServiceRestaurantNew2004,0,0,0
3.2308344903127773,1.1924636901123458,3.3886289862184986,0.5207414644047118,3.2006351010721317,1.1360638960764433,RefBldgHospitalNew2004,2,-1,2
3.2417372009230743,1.1355352791995248,3.3877385722400066,0.6626112033123234,3.2006351010721317,1.1360638960764433,RefBldgHospitalNew2004,2,-1,2
3.2446311239822117,1.1190464991996876,3.3868569341361523,0.8856114350854637,3.2006351010721317,1.1360638960764433,RefBldgHospitalNew2004,2,-1,2
3.0244405687412224,1.3123025181655439,3.3862557313536894,0.13479658019216625,3.2006351010721317,1.1360638960764433,RefBldgHospitalNew2004,2,-1,2
3.0653483418597327,1.2149029464928713,3.3908352997826237,0.2677556848998708,3.2006351010721317,1.1360638960764433,RefBldgHospitalNew2004,2,-1,2
0.4022500571286359,-0.045459949464610724,0.8000938994836815,-0.5509625817333652,0.4343280156641256,-0.09977124880991338,RefBldgLargeHotelNew2004,0,1,0
