,PC1,PC2,PC3,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical
67,-1.1223217868075592,-0.02625255575549663,0.0757071722096743,0,10,0
15,4.5151467186871095,1.4147186492654327,-1.7860652057010258,1,-1,1
5,5.561882997887063,-2.6335254919195523,0.5050422473010563,2,-1,2
45,2.7584765921284085,2.785422848968629,1.3667797214530144,1,-1,3
