Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),type_building
2004-01-01 01:00:00,377.173911246,22.1427366422,78.9431622653,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 02:00:00,350.282947134,18.4522805352,63.3431716994,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 03:00:00,376.426031205,23.065350669,77.2344954083,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 04:00:00,350.215700346,18.4522805352,63.0515182405,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 05:00:00,390.33756457,23.065350669,78.3158753488,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 06:00:00,387.955867667,18.4522805352,63.667179294,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 07:00:00,464.223054489,23.065350669,78.5013295012,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 08:00:00,427.106225326,18.4522805352,63.501410218,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 09:00:00,439.035739324,23.065350669,79.8710074542,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 10:00:00,377.271734295,18.4522805352,66.9815628506,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 11:00:00,359.639391684,23.065350669,85.3969685484,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 12:00:00,333.686562392,18.4522805352,71.6359487018,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 13:00:00,367.269871036,23.065350669,92.0219489137,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 14:00:00,338.065538121,18.4522805352,75.4505262583,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 15:00:00,364.238850422,23.065350669,89.0667672044,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 16:00:00,331.514050805,18.4522805352,69.4685782497,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 17:00:00,427.784825489,23.065350669,86.7377033833,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 18:00:00,468.243299855,18.4522805352,68.9744552255,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 19:00:00,496.823787222,23.065350669,84.5268593188,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 20:00:00,444.025585004,18.4522805352,68.5992834626,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 21:00:00,473.736812529,23.065350669,84.9943513893,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 22:00:00,419.559366126,18.4522805352,68.3162277105,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-01 23:00:00,424.250914154,23.065350669,84.4903473717,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
,370.46965185,18.4522805352,68.0344943499,0.0,24.9203635341,149.522181205,RefBldgLargeOfficeNew2004
2004-01-02 01:00:00,437.427671707,23.065350669,84.1116833673,0.0,24.9203635341,199.362908273,RefBldgLargeOfficeNew2004
2004-01-02 02:00:00,408.943810882,18.4522805352,68.5167296509,0.0,24.9203635341,199.362908273,RefBldgLargeOfficeNew2004
2004-01-02 03:00:00,440.128752117,23.065350669,85.3096820768,0.0,24.9203635341,199.362908273,RefBldgLargeOfficeNew2004
2004-01-02 04:00:00,413.289068402,18.4522805352,69.6025774055,0.0,24.9203635341,199.362908273,RefBldgLargeOfficeNew2004
2004-01-02 05:00:00,458.58283871,23.065350669,86.8622764238,0.0,24.9203635341,199.362908273,RefBldgLargeOfficeNew2004
