Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
2004-07-16 01:00:00,893.6050054072,96.62461723942,510.2052164934,0.0,34.9616554283,113.31278049400001
2004-07-16 02:00:00,896.727976956,96.62461723942,513.4797392227999,0.0,34.9616554283,113.31278049400001
2004-07-16 03:00:00,904.109981415,96.62461723942,519.3988999815999,0.0,34.9616554283,113.31278049400001
2004-07-16 04:00:00,914.582452273,96.62461723942,520.5183842508001,0.0,44.4937663224,113.31278049400001
2004-07-16 05:00:00,905.6085739902001,96.62461723942,517.2811691713999,0.0,44.4937663224,113.31278049400001
2004-07-16 06:00:00,964.548790364,96.62461723942,512.5503865758,0.0,54.0258772165,176.889270242
2004-07-16 07:00:00,963.350355668,96.62461723942,504.2490235392,0.0,54.0258772165,184.38654557
2004-07-16 08:00:00,1026.2289900179999,96.62461723942,487.4015814442,0.0,65.1572554096,220.04316451
2004-07-16 09:00:00,1014.843695974,96.62461723942,483.3611349758,0.0,65.1572554096,212.54588918199997
2004-07-16 10:00:00,1028.0188195679998,96.62461723942,486.20363232600005,0.0,65.1572554096,220.04316451
2004-07-16 11:00:00,1032.047179226,96.62461723942,488.5593425976,0.0,65.1572554096,220.04316451
2004-07-16 12:00:00,1031.069021006,96.62461723942,488.25377332560004,0.0,65.1572554096,220.04316451
2004-07-16 13:00:00,1022.0243197240001,96.62461723942,486.3274007598,0.0,65.1572554096,212.54588918199997
2004-07-16 14:00:00,1019.741880712,96.62461723942,484.12018146959997,0.0,65.1572554096,212.54588918199997
2004-07-16 15:00:00,1017.813749872,96.62461723942,482.47230128560005,0.0,65.1572554096,212.54588918199997
2004-07-16 16:00:00,990.9393457583999,96.62461723942,481.1328987488,0.0,65.1572554096,220.04316451
2004-07-16 17:00:00,941.6011336756001,96.62529579816001,479.3770133448,0.0,54.0258772165,184.38654557
2004-07-16 18:00:00,911.4368248628,96.63035216502001,479.7615441304,0.0,44.4937663224,163.454314868
2004-07-16 19:00:00,905.7007995262,96.62507918958,480.10879741200006,0.0,44.4937663224,155.95703954
2004-07-16 20:00:00,886.5750574058,96.62461723942,479.7940639814,0.0,44.4937663224,124.558693486
2004-07-16 21:00:00,887.0001017614001,96.62461723942,478.8659611974,0.0,44.4937663224,124.558693486
2004-07-16 22:00:00,879.7125557838001,96.62461723942,482.6894042262,0.0,34.9616554283,124.558693486
2004-07-16 23:00:00,885.5032064636,96.62461723942,488.31250982,0.0,34.9616554283,124.558693486
2004-07-17 00:00:00,,,,,,
2004-07-17 01:00:00,893.7407885442001,96.62461723942,498.50709752600005,0.0,46.0930336215,113.31278049400001
2004-07-17 02:00:00,899.0676053554,96.62461723942,503.2964248734,0.0,46.0930336215,113.31278049400001
2004-07-17 03:00:00,901.329491991,96.62461723942,505.6145294676,0.0,46.0930336215,113.31278049400001
2004-07-17 04:00:00,987.9428446100001,96.62461723942,502.10410860760004,0.0,100.150657288,148.969399434
2004-07-17 05:00:00,983.1216918888,96.65425329782,500.919718441,0.0,100.150657288,149.894399434
2004-07-17 06:00:00,1197.260809242,99.14625759712,492.6970300928,0.0,176.471037341,302.612436532
2004-07-17 07:00:00,1312.698697426,102.59656948899999,481.5429531168,0.0,243.2593065,310.10971186
2004-07-17 08:00:00,1351.639093796,103.8006098458,478.002935438,0.0,243.2593065,310.10971186
2004-07-17 09:00:00,1386.957752622,106.0360633496,476.180366891,0.0,243.2593065,302.612436532
2004-07-17 10:00:00,1399.890995684,109.6411161422,477.1415435402,0.0,243.2593065,310.10971186
2004-07-17 11:00:00,1408.356879558,113.86277399939999,478.31343034,0.0,243.2593065,310.10971186
2004-07-17 12:00:00,1373.819847962,118.3440022476,480.12156181119997,0.0,243.2593065,310.10971186
2004-07-17 13:00:00,1411.79496045,122.5640049066,480.3066265894,0.0,243.2593065,302.612436532
2004-07-17 14:00:00,1417.714754352,128.20611845460002,480.26988598360003,0.0,243.2593065,302.612436532
2004-07-17 15:00:00,1425.206683656,136.1472059126,479.79760046359996,0.0,243.2593065,302.612436532
2004-07-17 16:00:00,1438.491647032,143.3376990572,479.2469156814001,0.0,243.2593065,310.10971186
2004-07-17 17:00:00,1443.145426392,147.8128053568,479.4093345796,0.0,243.2593065,310.10971186
2004-07-17 18:00:00,1126.13830538,96.64301305469999,480.094914895,0.0,166.938926447,199.110933808
2004-07-17 19:00:00,1120.2775090119999,96.64271385532,481.2437619948,0.0,166.938926447,191.61365848
2004-07-17 20:00:00,997.696433259,96.62461723942,480.62647777500007,0.0,100.150657288,124.558693486
2004-07-17 21:00:00,959.2628152026,96.62461723942,479.5748330696,0.0,100.150657288,124.558693486
2004-07-17 22:00:00,888.3437022375999,96.62461723942,477.65452890340003,0.0,46.0930336215,124.558693486
2004-07-17 23:00:00,888.6821601678,96.62461723942,477.4773918944,0.0,46.0930336215,124.558693486
2004-07-18 00:00:00,,,,,,
2004-07-18 01:00:00,884.0734553584,96.62461723942,484.86247556859996,0.0,46.0930336215,113.31278049400001
2004-07-18 02:00:00,886.0810545083999,96.62461723942,487.914763949,0.0,46.0930336215,113.31278049400001
2004-07-18 03:00:00,884.3751111416001,96.62461723942,487.2422211966,0.0,46.0930336215,113.31278049400001
2004-07-18 04:00:00,977.6948845062001,96.62461723942,486.80121927259995,0.0,100.150657288,148.969399434
2004-07-18 05:00:00,977.2775259965999,98.9356663783,487.9426480024,0.0,100.150657288,149.894399434
2004-07-18 06:00:00,1198.616548816,108.3041648632,481.8113582356,0.0,176.471037341,302.612436532
2004-07-18 07:00:00,1323.834999384,114.8173963748,477.95663048919994,0.0,243.2593065,310.10971186
2004-07-18 08:00:00,1372.410040988,120.76053872719999,477.91939691420004,0.0,243.2593065,310.10971186
2004-07-18 09:00:00,1415.5328285159999,128.8426168046,478.70094771900006,0.0,243.2593065,302.612436532
2004-07-18 10:00:00,1433.244283232,136.686647617,480.0106411248,0.0,243.2593065,310.10971186
2004-07-18 11:00:00,1440.371278722,142.9847870436,479.7660820958,0.0,243.2593065,310.10971186
2004-07-18 12:00:00,1402.721769774,147.3931726578,479.4037784254,0.0,243.2593065,310.10971186
2004-07-18 13:00:00,1439.13817832,150.6491919778,479.1815169826,0.0,243.2593065,302.612436532
2004-07-18 14:00:00,1441.9071398780002,153.6329589446,478.9247978948,0.0,243.2593065,302.612436532
2004-07-18 15:00:00,1445.775912654,157.8426213856,478.5876860802,0.0,243.2593065,302.612436532
2004-07-18 16:00:00,1456.844760894,162.2359528104,478.6156905488,0.0,243.2593065,310.10971186
2004-07-18 17:00:00,1458.9119519179999,164.0935099964,478.8023048468,0.0,243.2593065,310.10971186
2004-07-18 18:00:00,1126.761079676,96.94642598886,480.168597116,0.0,166.938926447,199.110933808
2004-07-18 19:00:00,1118.5437313779998,97.09870907408,480.5798139908,0.0,166.938926447,191.61365848
2004-07-18 20:00:00,1005.6126819036001,96.64478350016,489.41990842079997,0.0,100.150657288,124.558693486
2004-07-18 21:00:00,970.4986415404001,96.62465359366,490.2292456164,0.0,100.150657288,124.558693486
2004-07-18 22:00:00,903.4634763132001,96.62461723942,490.18406074820007,0.0,46.0930336215,124.558693486
2004-07-18 23:00:00,904.5076986574,96.62461723942,490.47087321879997,0.0,46.0930336215,124.558693486
2004-07-19 00:00:00,,,,,,
2004-07-19 01:00:00,891.340155646,96.62461723942,492.82515643060003,0.0,46.0930336215,113.31278049400001
2004-07-19 02:00:00,898.4871690538,96.62461723942,500.86891745800006,0.0,46.0930336215,113.31278049400001
2004-07-19 03:00:00,899.6824700753999,96.62461723942,504.0275729008,0.0,46.0930336215,113.31278049400001
2004-07-19 04:00:00,991.6716391854,96.62461723942,507.5419430254,0.0,100.150657288,148.969399434
2004-07-19 05:00:00,991.4726860561999,101.85669676294,506.0219104868,0.0,100.150657288,149.894399434
2004-07-19 06:00:00,1205.7320568720002,108.14111634460001,493.99633311540003,0.0,176.471037341,302.612436532
2004-07-19 07:00:00,1324.2432105100002,115.4753010334,479.56401711959995,0.0,243.2593065,310.10971186
2004-07-19 08:00:00,1379.147087612,123.01440318760001,483.74343476539997,0.0,243.2593065,310.10971186
2004-07-19 09:00:00,1420.2853221999999,131.161687808,482.79317632100003,0.0,243.2593065,302.612436532
2004-07-19 10:00:00,1431.434377094,138.0024846586,479.7961964926,0.0,243.2593065,310.10971186
2004-07-19 11:00:00,1435.264988532,142.9635141908,477.953308958,0.0,243.2593065,310.10971186
2004-07-19 12:00:00,1397.416407706,147.4758519326,477.430575717,0.0,243.2593065,310.10971186
2004-07-19 13:00:00,1433.5343656500002,150.6673681602,476.8497477344,0.0,243.2593065,302.612436532
2004-07-19 14:00:00,1436.975459146,153.4005178504,476.7846234464,0.0,243.2593065,302.612436532
2004-07-19 15:00:00,1441.983816366,156.889501096,477.67318889999996,0.0,243.2593065,302.612436532
2004-07-19 16:00:00,1451.487424496,160.0891233906,477.115849916,0.0,243.2593065,310.10971186
2004-07-19 17:00:00,1453.2394062859998,162.6507337282,476.4512815536,0.0,243.2593065,310.10971186
2004-07-19 18:00:00,1130.28924003,97.90058158389999,483.8833426884,0.0,166.938926447,199.110933808
2004-07-19 19:00:00,1128.010549632,97.89610754835999,487.92653563719995,0.0,166.938926447,191.61365848
2004-07-19 20:00:00,1006.2072785762,96.9983113927,488.922319324,0.0,100.150657288,124.558693486
2004-07-19 21:00:00,966.9793999425999,96.75816586528,487.259776952,0.0,100.150657288,124.558693486
2004-07-19 22:00:00,898.6875248118,96.62644997052,487.46666494299996,0.0,46.0930336215,124.558693486
2004-07-19 23:00:00,902.1889696344,96.62461723942,490.95124465439994,0.0,46.0930336215,124.558693486
2004-07-20 00:00:00,,,,,,
2004-07-20 01:00:00,896.2247495312,96.62461723942,498.3737380206,0.0,46.0930336215,113.31278049400001
2004-07-20 02:00:00,894.0501075194001,96.62461723942,497.1257170756,0.0,46.0930336215,113.31278049400001
2004-07-20 03:00:00,896.9115548704,96.62461723942,500.5725433656,0.0,46.0930336215,113.31278049400001
2004-07-20 04:00:00,980.4836341841999,96.62461723942,493.0126668854,0.0,100.150657288,148.969399434
2004-07-20 05:00:00,980.4249353892001,107.23785800224,484.4457133134,0.0,100.150657288,149.894399434
2004-07-20 06:00:00,1204.5919929200002,118.2967394258,478.7520234644,0.0,176.471037341,302.612436532
2004-07-20 07:00:00,1331.224064862,126.9391720422,473.81482207939996,0.0,243.2593065,310.10971186
2004-07-20 08:00:00,1381.560150416,132.4526169132,475.74009138599996,0.0,243.2593065,310.10971186
2004-07-20 09:00:00,1425.74315666,140.895756594,477.1791362176,0.0,243.2593065,302.612436532
2004-07-20 10:00:00,1443.90139662,148.9600140112,478.6351946604,0.0,243.2593065,310.10971186
2004-07-20 11:00:00,1454.864538684,157.8418976442,479.33312744920005,0.0,243.2593065,310.10971186
2004-07-20 12:00:00,1420.81931175,165.6020729886,479.25491870639996,0.0,243.2593065,310.10971186
2004-07-20 13:00:00,1460.133576098,171.5208214002,479.2687918802,0.0,243.2593065,302.612436532
2004-07-20 14:00:00,1465.8248349239998,177.1646644556,479.2589224978,0.0,243.2593065,302.612436532
2004-07-20 15:00:00,1473.391221526,184.7811700046,479.1842209356,0.0,243.2593065,302.612436532
2004-07-20 16:00:00,1486.016899344,190.65735377380003,479.2634418392,0.0,243.2593065,310.10971186
2004-07-20 17:00:00,1490.06392109,194.8870992638,479.07845313079997,0.0,243.2593065,310.10971186
2004-07-20 18:00:00,1135.290456166,103.03575295298,481.72806219539996,0.0,166.938926447,199.110933808
2004-07-20 19:00:00,1128.832855606,102.15934101144,482.8191618868,0.0,166.938926447,191.61365848
2004-07-20 20:00:00,1003.4537239956001,98.64305161646,482.6476587436,0.0,100.150657288,124.558693486
2004-07-20 21:00:00,966.702211649,97.61747597588001,483.51990059139996,0.0,100.150657288,124.558693486
2004-07-20 22:00:00,898.3906222246,96.98807550118,483.6397594956,0.0,46.0930336215,124.558693486
2004-07-20 23:00:00,898.8426016972,96.71816124258001,483.5879522566,0.0,46.0930336215,124.558693486
2004-07-21 00:00:00,,,,,,
2004-07-21 01:00:00,884.9657980002,96.62461723942,482.46855285540005,0.0,46.0930336215,113.31278049400001
2004-07-21 02:00:00,880.0468790020001,96.62461938215999,479.19183319800004,0.0,46.0930336215,113.31278049400001
2004-07-21 03:00:00,875.6289758838,96.62461723942,476.6831856084,0.0,46.0930336215,113.31278049400001
2004-07-21 04:00:00,974.398231569,96.62461723942,481.89306370180003,0.0,100.150657288,148.969399434
2004-07-21 05:00:00,987.3880472000001,117.46276114612002,477.96207357519995,0.0,100.150657288,149.894399434
2004-07-21 06:00:00,1211.645837988,127.68771351180001,474.666871862,0.0,176.471037341,302.612436532
2004-07-21 07:00:00,1343.161454778,135.9931531728,475.0225253818,0.0,243.2593065,310.10971186
2004-07-21 08:00:00,1394.6722444499999,143.5162897366,476.5760386446,0.0,243.2593065,310.10971186
2004-07-21 09:00:00,1439.5970339560001,152.162013396,478.519824316,0.0,243.2593065,302.612436532
2004-07-21 10:00:00,1455.5490133560002,159.4781622942,479.4231414422,0.0,243.2593065,310.10971186
2004-07-21 11:00:00,1463.2599469279999,166.14997215620002,479.3871963242,0.0,243.2593065,310.10971186
2004-07-21 12:00:00,1427.592892978,172.1068720988,479.43792875139997,0.0,243.2593065,310.10971186
2004-07-21 13:00:00,1466.6936810319999,177.7734375306,479.46821109539997,0.0,243.2593065,302.612436532
2004-07-21 14:00:00,1475.023430874,186.2810072314,479.22902433420006,0.0,243.2593065,302.612436532
2004-07-21 15:00:00,1487.704628364,199.011017761,479.1558623424,0.0,243.2593065,302.612436532
2004-07-21 16:00:00,1503.866909216,208.49353754559996,479.13106473360006,0.0,243.2593065,310.10971186
2004-07-21 17:00:00,1506.524653826,211.10134364280003,479.1765665738,0.0,243.2593065,310.10971186
2004-07-21 18:00:00,1141.5999317800001,109.18990022662001,481.7631999556,0.0,166.938926447,199.110933808
2004-07-21 19:00:00,1131.343118052,105.70697246902,482.60599906219994,0.0,166.938926447,191.61365848
2004-07-21 20:00:00,1004.3595154152001,100.21432755708,482.75086243839996,0.0,100.150657288,124.558693486
2004-07-21 21:00:00,966.9986470906,98.44377053816,483.5743166602,0.0,100.150657288,124.558693486
2004-07-21 22:00:00,898.2359046347999,97.05326963802,483.4802362544,0.0,46.0930336215,124.558693486
2004-07-21 23:00:00,895.4602206252,96.67453846309999,481.3253666616,0.0,46.0930336215,124.558693486
2004-07-22 00:00:00,,,,,,
2004-07-22 01:00:00,880.3461577943999,96.62461723942,479.4737366046,0.0,46.0930336215,113.31278049400001
2004-07-22 02:00:00,879.824581655,96.62461723942,478.8466035554,0.0,46.0930336215,113.31278049400001
2004-07-22 03:00:00,879.2625591834,96.62461723942,478.40823463019996,0.0,46.0930336215,113.31278049400001
2004-07-22 04:00:00,892.0673019406,96.62461723942,480.96660310259995,0.0,55.625144515600006,113.31278049400001
2004-07-22 05:00:00,894.6042017382,96.62461723942,488.9532283498,0.0,55.625144515600006,113.31278049400001
2004-07-22 06:00:00,948.6821923914,96.62461723942,481.67222953640004,0.0,65.1572554096,176.889270242
2004-07-22 07:00:00,1086.616493112,119.3287598891,474.698191199,0.0,109.68276818199999,220.96816451
2004-07-22 08:00:00,1100.156139292,118.88620258146,478.0086035264,0.0,109.68276818199999,220.96816451
2004-07-22 09:00:00,1219.9182904680001,130.4317779762,478.615448989,0.0,131.945524568,266.955817592
2004-07-22 10:00:00,1232.11704747,135.7947158314,478.05718779660003,0.0,131.945524568,274.45309292
2004-07-22 11:00:00,1238.323730098,140.2093535884,478.48635257999996,0.0,131.945524568,274.45309292
2004-07-22 12:00:00,1212.523545342,144.7887659,479.03986426800003,0.0,131.945524568,274.45309292
2004-07-22 13:00:00,1211.6145998240002,149.11197311680002,480.526168536,0.0,131.945524568,266.955817592
2004-07-22 14:00:00,1215.843916952,153.3186919406,480.48836408759996,0.0,131.945524568,266.955817592
2004-07-22 15:00:00,1083.678264966,96.73008023574,481.60020164540003,0.0,109.68276818199999,212.54588918199997
2004-07-22 16:00:00,1093.066715518,97.14350427476,483.30494604100005,0.0,109.68276818199999,220.04316451
2004-07-22 17:00:00,1049.689107512,97.40684912792,482.470821636,0.0,109.68276818199999,220.04316451
2004-07-22 18:00:00,1007.5305879114,97.57549980270001,480.0697985864,0.0,100.150657288,199.110933808
2004-07-22 19:00:00,1000.0395333446,97.43510481992,479.9087428934,0.0,100.150657288,191.61365848
2004-07-22 20:00:00,901.0910762018,96.78121402106,480.3342746792,0.0,55.625144515600006,124.558693486
2004-07-22 21:00:00,906.9325661872001,96.63993203940001,484.1545005188,0.0,55.625144515600006,124.558693486
2004-07-22 22:00:00,901.0577002178001,96.62472052230001,488.3079098522,0.0,46.0930336215,124.558693486
2004-07-22 23:00:00,903.237704206,96.62461723942,489.50819309540003,0.0,46.0930336215,124.558693486
2004-07-23 00:00:00,,,,,,
2004-07-23 01:00:00,872.2376708298,96.62461723942,482.4714258664,0.0,34.9616554283,113.31278049400001
2004-07-23 02:00:00,866.4868479438001,96.62461723942,478.7031541974,0.0,34.9616554283,113.31278049400001
2004-07-23 03:00:00,868.4640878854,96.62461723942,481.3591131342,0.0,34.9616554283,113.31278049400001
2004-07-23 04:00:00,881.4023744107999,96.62461723942,484.372225791,0.0,44.4937663224,113.31278049400001
2004-07-23 05:00:00,877.5460015918001,96.62461723942,485.4475787018,0.0,44.4937663224,113.31278049400001
2004-07-23 06:00:00,935.6937736571999,96.62461723942,481.0618289578,0.0,54.0258772165,176.889270242
2004-07-23 07:00:00,946.1110843258,96.62461723942,483.7993784068,0.0,54.0258772165,184.38654557
2004-07-23 08:00:00,1027.156291364,96.62461723942,483.98935752420005,0.0,65.1572554096,220.04316451
2004-07-23 09:00:00,1020.269600758,96.62461723942,483.613446557,0.0,65.1572554096,212.54588918199997
2004-07-23 10:00:00,1028.373411994,96.62461723942,483.8172188232,0.0,65.1572554096,220.04316451
2004-07-23 11:00:00,1028.552036682,96.62461723942,482.9070328786,0.0,65.1572554096,220.04316451
2004-07-23 12:00:00,1025.319170716,96.62461723942,481.03086025780004,0.0,65.1572554096,220.04316451
2004-07-23 13:00:00,1018.243978934,96.62603134234,481.2803557208,0.0,65.1572554096,212.54588918199997
2004-07-23 14:00:00,1019.380081816,96.63423672946,481.4794550444,0.0,65.1572554096,212.54588918199997
2004-07-23 15:00:00,1021.4517278700001,96.65639797928,482.7393477538,0.0,65.1572554096,212.54588918199997
2004-07-23 16:00:00,996.3533742310001,96.67482907792001,482.832482917,0.0,65.1572554096,220.04316451
2004-07-23 17:00:00,949.9026825451999,96.66810002150001,483.156654677,0.0,54.0258772165,184.38654557
2004-07-23 18:00:00,919.4290600382001,96.64420528872,483.17646280959997,0.0,44.4937663224,163.454314868
2004-07-23 19:00:00,912.2940787842001,96.62663202766001,482.9931472104,0.0,44.4937663224,155.95703954
2004-07-23 20:00:00,890.0166917628,96.62461723942,480.26367040819997,0.0,44.4937663224,124.558693486
2004-07-23 21:00:00,888.7157439693999,96.62461723942,478.4128970552,0.0,44.4937663224,124.558693486
2004-07-23 22:00:00,872.5550554322001,96.62461723942,474.76631116159996,0.0,34.9616554283,124.558693486
2004-07-23 23:00:00,872.2456443909999,96.62461723942,474.4153040272,0.0,34.9616554283,124.558693486
2004-07-24 00:00:00,,,,,,
2004-07-24 01:00:00,888.8724800980001,96.62461723942,491.2649596814,0.0,46.0930336215,113.31278049400001
2004-07-24 02:00:00,890.9993130138,96.62461723942,493.24895266920004,0.0,46.0930336215,113.31278049400001
2004-07-24 03:00:00,893.5394287822,96.62461723942,495.5646025588,0.0,46.0930336215,113.31278049400001
2004-07-24 04:00:00,988.8714384822,96.62461723942,499.9799209902,0.0,100.150657288,148.969399434
